Mes	Año	Descripción Centro	Organismo	Número Contrato	Número Expediente	Descripcion	Tipo Contrato	Procedimiento Adjudicación	Artículo	Apartado	Criterios Adjudicación	Plazo	Empresa	NIF/CIF Adjudicatario	Fecha Adjudicación	Fecha Formalización	Número Derivado	Objeto Derivado	Presupuesto Total	Importe Adjudicación	Plazo Derivado	Fecha Aprobación Derivado	Fecha Formalización Derivado	Id
Enero	2015	AYUNTAMIENTO DE MADRID	ÁREA DE GOBIERNO DE URBANISMO Y VIVIENDA	201200308	711/2011/26554	ACUERDO MARCO DE SERVICIOS DE COORDINACIÓN EN MATERIA DE SEGURIDAD Y SALUD DE LAS OBRAS A EJECUTAR POR EL ÁREA DE GOBIERNO DE URBANISMO Y VIVIENDA.	Servicios	Abierto			Pluralidad de criterios	41,86	INGENIERIA Y PREVENCION DE RIESGOS, S.L.	B81470841	06/06/2012	05/07/2012	312	EXPEDIENTE: 711/2014/21541. CONTRATO DERIVADO DE SERIVICOS PARA LA DESIGNACIÓN DEL COORDINADOR DE SEGURIDAD Y SALUD DE LAS OBRAS EN C/ JESÚS Y MARÍA, 15.	203	203,26 €	0,83	22/12/2014	26/12/2014	19
Enero	2015	AYUNTAMIENTO DE MADRID	ÁREA DE GOBIERNO DE URBANISMO Y VIVIENDA	201200308	711/2011/26554	ACUERDO MARCO DE SERVICIOS DE COORDINACIÓN EN MATERIA DE SEGURIDAD Y SALUD DE LAS OBRAS A EJECUTAR POR EL ÁREA DE GOBIERNO DE URBANISMO Y VIVIENDA.	Servicios	Abierto			Pluralidad de criterios	41,86	INGENIERIA Y PREVENCION DE RIESGOS, S.L.	B81470841	06/06/2012	05/07/2012	313	711/2014/21547.  CALLE ALMURADIEL, 150.	92	91,63 €	1,1	19/12/2014	26/12/2014	20
Enero	2015	AYUNTAMIENTO DE MADRID	ÁREA DE GOBIERNO DE URBANISMO Y VIVIENDA	201200308	711/2011/26554	ACUERDO MARCO DE SERVICIOS DE COORDINACIÓN EN MATERIA DE SEGURIDAD Y SALUD DE LAS OBRAS A EJECUTAR POR EL ÁREA DE GOBIERNO DE URBANISMO Y VIVIENDA.	Servicios	Abierto			Pluralidad de criterios	41,86	INGENIERIA Y PREVENCION DE RIESGOS, S.L.	B81470841	06/06/2012	05/07/2012	314	711/2014/21762 .- CONTRATO DERIVADO DE SERVICIOS PARA LA DESIGNACIÓN DEL COORDINADOR DE SEGURIDAD Y SALUD DE LAS OBRAS RELATIVAS A LA EJECUCIÓN INMEDIATA POR EL PROCEDIMIENTO DE EMERGENCIA EN CALLE DE MELQUÍADES BIENCINTO Nº 11.	245	244,63 €	2,3	26/12/2014	31/12/2014	21
Enero	2015	AYUNTAMIENTO DE MADRID	ÁREA DE GOBIERNO DE URBANISMO Y VIVIENDA	201200308	711/2011/26554	ACUERDO MARCO DE SERVICIOS DE COORDINACIÓN EN MATERIA DE SEGURIDAD Y SALUD DE LAS OBRAS A EJECUTAR POR EL ÁREA DE GOBIERNO DE URBANISMO Y VIVIENDA.	Servicios	Abierto			Pluralidad de criterios	41,86	INGENIERIA Y PREVENCION DE RIESGOS, S.L.	B81470841	06/06/2012	05/07/2012	315	711/2014/21959 SERVICIOS PARA LA DESIGNACIÓN DEL COORDINADOR DE SEGURIDAD Y SALUD DE LAS OBRAS RELATIVAS EJECUCIÓN INMEDIATA POR EL PROCEDIMIENTO DE EMERGENCIA EN CALLE DE MELQUÍADES BIENCINTO, Nº 11 B	293	293,41 €	2,3	26/12/2014	31/12/2014	22
Enero	2015	AYUNTAMIENTO DE MADRID	ÁREA DE GOBIERNO DE URBANISMO Y VIVIENDA	201200308	711/2011/26554	ACUERDO MARCO DE SERVICIOS DE COORDINACIÓN EN MATERIA DE SEGURIDAD Y SALUD DE LAS OBRAS A EJECUTAR POR EL ÁREA DE GOBIERNO DE URBANISMO Y VIVIENDA.	Servicios	Abierto			Pluralidad de criterios	41,86	INGENIERIA Y PREVENCION DE RIESGOS, S.L.	B81470841	06/06/2012	05/07/2012	316	711-2014-21607 - CONTRATO DERIVADO DE SERVICIOS PARA DESIGNACIÓN DEL COORDINADOR DE SEGURIDAD Y SALUD DE LAS OBRAS RELATIVAS A LA ACTUACIÓN EN EDIFICIOS O ESPACIOS MUNICIPALES, POR EL PROCEDIMIENTO DE EMERGENCIA, EN LA PLAZA DEL CARMEN, S/N (APARCAMIENTO SUBTERRÁNEO MUNICIPAL)	518	517,90 €	0,86	23/12/2014	31/12/2014	23
Enero	2015	AYUNTAMIENTO DE MADRID	ÁREA DE GOBIERNO DE URBANISMO Y VIVIENDA	201200308	711/2011/26554	ACUERDO MARCO DE SERVICIOS DE COORDINACIÓN EN MATERIA DE SEGURIDAD Y SALUD DE LAS OBRAS A EJECUTAR POR EL ÁREA DE GOBIERNO DE URBANISMO Y VIVIENDA.	Servicios	Abierto			Pluralidad de criterios	41,86	INGENIERIA Y PREVENCION DE RIESGOS, S.L.	B81470841	06/06/2012	05/07/2012	317	EXPEDIENTE 711/2014/21819. CONTRATO DERIVADO DE SERVICIOS PARA LA DESIGNACIÓN DEL COORDINADOR DE SEGURIDAD Y SALUD DE LAS OBRAS EN EL PASEO DE LA DIRECCIÓN Nº 252.	655	655,48 €	1,06	26/12/2014	31/12/2014	24
Enero	2015	AYUNTAMIENTO DE MADRID	ÁREA DE GOBIERNO DE URBANISMO Y VIVIENDA	201200308	711/2011/26554	ACUERDO MARCO DE SERVICIOS DE COORDINACIÓN EN MATERIA DE SEGURIDAD Y SALUD DE LAS OBRAS A EJECUTAR POR EL ÁREA DE GOBIERNO DE URBANISMO Y VIVIENDA.	Servicios	Abierto			Pluralidad de criterios	41,86	INGENIERIA Y PREVENCION DE RIESGOS, S.L.	B81470841	06/06/2012	05/07/2012	318	711/2014/18862 CR CONTRATO DERIVADO PARA LA DESIGNACIÓN DEL COORDINADOR DE SEGURIDAD Y SALUD DE LAS OBRAS DE DEMOLICIÓN DE SOLARES Y ACONDICIONAMIENTO Y VALLADO DE SOLARES EN LA CALLE SIERRA DE BOBIA, NºS. 79,81,83,85 Y 87 (DISTRITO Nº. 18 - VILLA DE VALLECAS)	139	139,21 €	0,33	19/12/2014	31/12/2014	25
Enero	2015	AYUNTAMIENTO DE MADRID	ÁREA DE GOBIERNO DE URBANISMO Y VIVIENDA	201200308	711/2011/26554	ACUERDO MARCO DE SERVICIOS DE COORDINACIÓN EN MATERIA DE SEGURIDAD Y SALUD DE LAS OBRAS A EJECUTAR POR EL ÁREA DE GOBIERNO DE URBANISMO Y VIVIENDA.	Servicios	Abierto			Pluralidad de criterios	41,86	INGENIERIA Y PREVENCION DE RIESGOS, S.L.	B81470841	06/06/2012	05/07/2012	319	711/2014/22973 C/ RIVAS, 29.	376	375,77 €	0,8	26/12/2014	31/12/2014	26
Enero	2015	AYUNTAMIENTO DE MADRID	ÁREA DE GOBIERNO DE URBANISMO Y VIVIENDA	201200308	711/2011/26554	ACUERDO MARCO DE SERVICIOS DE COORDINACIÓN EN MATERIA DE SEGURIDAD Y SALUD DE LAS OBRAS A EJECUTAR POR EL ÁREA DE GOBIERNO DE URBANISMO Y VIVIENDA.	Servicios	Abierto			Pluralidad de criterios	41,86	INGENIERIA Y PREVENCION DE RIESGOS, S.L.	B81470841	06/06/2012	05/07/2012	320	711/2014/21794 Pº DEL COMANDANTE FORTEA 71.	146	146,06 €	0,56	29/12/2014	31/12/2014	27
Enero	2015	AYUNTAMIENTO DE MADRID	ÁREA DE GOBIERNO DE URBANISMO Y VIVIENDA	201300627	132/2013/00820	ACUERDO MARCO PARA LA “INSTALACIÓN, CONSERVACIÓN Y DESMONTAJE DEL ALUMBRADO ORNAMENTAL NAVIDEÑO DE MADRID PARA LAS NAVIDADES 2013/2014 Y 2014/2015. LOTE 1.	Servicios	Abierto			Pluralidad de criterios	20	ILUMINACIONES XIMENEZ S.A.	A14041362	09/10/2013	30/10/2013	6	"CONTRATO DERIVADO Nº 6 CORRESPONDIENTE AL LOTE 1 DEL ACUERDO MARCO PARA LA ""INSTALACIÓN, CONSERVACIÓN Y DESMONTAJE DEL ALUMBRADO ORNAMENTAL NAVIDEÑA DE MADRID, PARA LAS NAVIDADES 2013/2014 Y 2014/2015."	17060	17.060,27 €	6	29/12/2014	29/12/2014	28
Enero	2015	AYUNTAMIENTO DE MADRID	ÁREA DE GOBIERNO DE ECONOMÍA, HACIENDA Y ADMINISTRACIÓN PÚBLICA	201300701	135/2013/00149	ACUERDO MARCO PARA LA REALIZACIÓN DE OBRAS DE REFORMA, REPARACIÓN, CONSERVACIÓN Y DEMOLICIÓN DEL CONJUNTO DE EDIFICIOS DEMANIALES, PATRIMONIALES Y AQUELLOS QUE ESTÉN SUJETOS A CUALQUIER TIPO DE USO DEL AYUNTAMIENTO DE MADRID.	Obras	Abierto			Pluralidad de criterios	24	FCC CONSTRUCCION; S.A.	A28854727	19/11/2013	10/12/2013	29	ADAPTACIÓN AL ESTADO ORIGINAL DE PLANTAS 5 Y 7 DEL EDIFICIO SITUADO EN C/ ALCALÁ, 21	15258	15.258,15 €	0,5	23/12/2014	07/01/2015	29
Enero	2015	AYUNTAMIENTO DE MADRID	ÁREA DE GOBIERNO DE ECONOMÍA, HACIENDA Y ADMINISTRACIÓN PÚBLICA	201300701	135/2013/00149	ACUERDO MARCO PARA LA REALIZACIÓN DE OBRAS DE REFORMA, REPARACIÓN, CONSERVACIÓN Y DEMOLICIÓN DEL CONJUNTO DE EDIFICIOS DEMANIALES, PATRIMONIALES Y AQUELLOS QUE ESTÉN SUJETOS A CUALQUIER TIPO DE USO DEL AYUNTAMIENTO DE MADRID.	Obras	Abierto			Pluralidad de criterios	24	FCC CONSTRUCCION; S.A.	A28854727	19/11/2013	10/12/2013	30	DERIVADO ADAPTACIÓN DE ESPACIOS PARA OFICINAS PLANTAS 3ª Y 4ª DEL EDIFICIO PRÍNCIPE DE VERGARA, 142 	29230	29.230,01 €	1	22/12/2014	07/01/2015	30
